ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1418068735.98,template1,0,0,0,0,0,0,0,0,0,0
1418068735.98,template0,0,0,0,0,0,0,0,0,0,0
1418068735.98,postgres,0,468,3,3625,17570,216123,6600,0,0,0
1418068735.98,dbt3,13,7819,0,1548585101,4535855244,46426999050,21346155133,525543435,990,4952283
1418068795.98289,template1,0,0,0,0,0,0,0,0,0,0
1418068795.98289,template0,0,0,0,0,0,0,0,0,0,0
1418068795.98289,postgres,0,470,3,3625,17628,217049,6611,0,0,0
1418068795.98289,dbt3,9,7895,0,1549101203,4537755058,46485213796,21346163239,536343670,1046,4952289
1418068855.98384,template1,0,0,0,0,0,0,0,0,0,0
1418068855.98384,template0,0,0,0,0,0,0,0,0,0,0
1418068855.98384,postgres,0,472,3,3625,17686,217975,6622,0,0,0
1418068855.98384,dbt3,8,7923,0,1550255441,4539569742,46515222349,21346166940,560343714,1065,4952289
1418068915.98916,template1,0,0,0,0,0,0,0,0,0,0
1418068915.98916,template0,0,0,0,0,0,0,0,0,0,0
1418068915.98916,postgres,0,474,3,3625,17744,218901,6633,0,0,0
1418068915.98916,dbt3,7,7943,0,1552152226,4540097937,46563230495,21346170559,560343771,1067,4952289
1418068975.98705,template1,0,0,0,0,0,0,0,0,0,0
1418068975.98705,template0,0,0,0,0,0,0,0,0,0,0
1418068975.98705,postgres,0,476,3,3625,17802,219827,6644,0,0,0
1418068975.98705,dbt3,8,7962,0,1554427824,4541737384,46653235827,21346172174,605343777,1068,4952289
1418069035.98912,template1,0,0,0,0,0,0,0,0,0,0
1418069035.98912,template0,0,0,0,0,0,0,0,0,0,0
1418069035.98912,postgres,0,478,3,3625,17860,220753,6655,0,0,0
1418069035.98912,dbt3,5,7980,0,1557123462,4542509190,46743242327,21346174278,605343835,1068,4952289
1418069095.99167,template1,0,0,0,0,0,0,0,0,0,0
1418069095.99167,template0,0,0,0,0,0,0,0,0,0,0
1418069095.99167,postgres,0,480,3,3625,17918,221679,6666,0,0,0
1418069095.99167,dbt3,4,7991,0,1557123462,4542512458,46743247507,21346175704,605343835,1068,4952289
1418069155.99712,template1,0,0,0,0,0,0,0,0,0,0
1418069155.99712,template0,0,0,0,0,0,0,0,0,0,0
1418069155.99712,postgres,0,482,3,3625,17976,222605,6677,0,0,0
1418069155.99712,dbt3,5,8006,0,1557123462,4542516040,46743252832,21346177272,605343835,1068,4952289
1418069216.00024,template1,0,0,0,0,0,0,0,0,0,0
1418069216.00024,template0,0,0,0,0,0,0,0,0,0,0
1418069216.00024,postgres,0,484,3,3625,18034,223531,6688,0,0,0
1418069216.00024,dbt3,6,8017,0,1557123462,4542519098,46743257915,21346178600,605343835,1068,4952289
1418069275.9986,template1,0,0,0,0,0,0,0,0,0,0
1418069275.9986,template0,0,0,0,0,0,0,0,0,0,0
1418069275.9986,postgres,0,486,3,3625,18092,224457,6699,0,0,0
1418069275.9986,dbt3,3,8026,0,1557123462,4542522314,46743263071,21346180004,605343835,1068,4952289
1418069336.00161,template1,0,0,0,0,0,0,0,0,0,0
1418069336.00161,template0,0,0,0,0,0,0,0,0,0,0
1418069336.00161,postgres,0,488,3,3625,18150,225383,6710,0,0,0
1418069336.00161,dbt3,4,8039,0,1557123462,4542525634,46743268275,21346181452,605343835,1068,4952289
1418069396.00401,template1,0,0,0,0,0,0,0,0,0,0
1418069396.00401,template0,0,0,0,0,0,0,0,0,0,0
1418069396.00401,postgres,0,490,3,3625,18208,226309,6721,0,0,0
1418069396.00401,dbt3,3,8050,0,1557123462,4542528902,46743273455,21346182878,605343835,1068,4952289
1418069456.00853,template1,0,0,0,0,0,0,0,0,0,0
1418069456.00853,template0,0,0,0,0,0,0,0,0,0,0
1418069456.00853,postgres,0,492,3,3625,18266,227235,6732,0,0,0
1418069456.00853,dbt3,5,8066,0,1557123462,4542532510,46743278792,21346184457,605343835,1068,4952289
1418069516.01167,template1,0,0,0,0,0,0,0,0,0,0
1418069516.01167,template0,0,0,0,0,0,0,0,0,0,0
1418069516.01167,postgres,0,494,3,3625,18324,228161,6743,0,0,0
1418069516.01167,dbt3,6,8078,0,1557123462,4542535680,46743283937,21346185847,605343835,1068,4952289
1418069576.016,template1,0,0,0,0,0,0,0,0,0,0
1418069576.016,template0,0,0,0,0,0,0,0,0,0,0
1418069576.016,postgres,0,496,3,3625,18382,229087,6754,0,0,0
1418069576.016,dbt3,6,8089,0,1557123462,4542538862,46743289067,21346187222,605343835,1068,4952289
1418069636.01438,template1,0,0,0,0,0,0,0,0,0,0
1418069636.01438,template0,0,0,0,0,0,0,0,0,0,0
1418069636.01438,postgres,0,498,3,3625,18440,230013,6765,0,0,0
1418069636.01438,dbt3,3,8098,0,1557123462,4542542078,46743294223,21346188626,605343835,1068,4952289
1418069696.01751,template1,0,0,0,0,0,0,0,0,0,0
1418069696.01751,template0,0,0,0,0,0,0,0,0,0,0
1418069696.01751,postgres,0,500,3,3625,18498,230939,6776,0,0,0
1418069696.01751,dbt3,6,8117,0,1560321190,4549471472,46743299490,21346190134,785342207,1068,4952289
1418069756.0204,template1,0,0,0,0,0,0,0,0,0,0
1418069756.0204,template0,0,0,0,0,0,0,0,0,0,0
1418069756.0204,postgres,0,502,3,3625,18556,231865,6787,0,0,0
1418069756.0204,dbt3,6,8133,0,1560321190,4549475120,46743305225,21346191784,785342207,1068,4952289
1418069816.02092,template1,0,0,0,0,0,0,0,0,0,0
1418069816.02092,template0,0,0,0,0,0,0,0,0,0,0
1418069816.02092,postgres,0,504,3,3625,18614,232791,6798,0,0,0
1418069816.02092,dbt3,4,8143,0,1560321190,4549478020,46743309854,21346192990,785342207,1068,4952289
1418069876.02656,template1,0,0,0,0,0,0,0,0,0,0
1418069876.02656,template0,0,0,0,0,0,0,0,0,0,0
1418069876.02656,postgres,0,506,3,3625,18672,233717,6809,0,0,0
1418069876.02656,dbt3,5,8162,0,1560321190,4549481956,46743315722,21346194771,785342207,1068,4952289
1418069936.02605,template1,0,0,0,0,0,0,0,0,0,0
1418069936.02605,template0,0,0,0,0,0,0,0,0,0,0
1418069936.02605,postgres,0,508,3,3625,18730,234643,6820,0,0,0
1418069936.02605,dbt3,4,8171,0,1560321190,4549484620,46743320242,21346195868,785342207,1068,4952289
1418069996.02994,template1,0,0,0,0,0,0,0,0,0,0
1418069996.02994,template0,0,0,0,0,0,0,0,0,0,0
1418069996.02994,postgres,0,510,3,3625,18788,235569,6831,0,0,0
1418069996.02994,dbt3,7,8190,0,1560321190,4549488556,46743326110,21346197649,785342207,1068,4952289
1418070056.03316,template1,0,0,0,0,0,0,0,0,0,0
1418070056.03316,template0,0,0,0,0,0,0,0,0,0,0
1418070056.03316,postgres,0,512,3,3625,18846,236495,6842,0,0,0
1418070056.03316,dbt3,6,8204,0,1560321190,4549491856,46743331304,21346199088,785342207,1068,4952289
1418070116.03383,template1,0,0,0,0,0,0,0,0,0,0
1418070116.03383,template0,0,0,0,0,0,0,0,0,0,0
1418070116.03383,postgres,0,514,3,3625,18904,237421,6853,0,0,0
1418070116.03383,dbt3,6,8215,0,1560321190,4549494572,46743335848,21346200207,785342207,1068,4952289
1418070176.03943,template1,0,0,0,0,0,0,0,0,0,0
1418070176.03943,template0,0,0,0,0,0,0,0,0,0,0
1418070176.03943,postgres,0,516,3,3625,18962,238347,6864,0,0,0
1418070176.03943,dbt3,5,8232,0,1560321190,4549498456,46743341692,21346201966,785342207,1068,4952289
1418070236.04226,template1,0,0,0,0,0,0,0,0,0,0
1418070236.04226,template0,0,0,0,0,0,0,0,0,0,0
1418070236.04226,postgres,0,518,3,3625,19020,239273,6875,0,0,0
1418070236.04226,dbt3,7,8244,0,1560321190,4549501198,46743346248,21346203096,785342207,1068,4952289
1418070296.04452,template1,0,0,0,0,0,0,0,0,0,0
1418070296.04452,template0,0,0,0,0,0,0,0,0,0,0
1418070296.04452,postgres,0,520,3,3625,19078,240199,6886,0,0,0
1418070296.04452,dbt3,5,8260,0,1560321190,4549505056,46743352080,21346204844,785342207,1068,4952289
1418070356.04768,template1,0,0,0,0,0,0,0,0,0,0
1418070356.04768,template0,0,0,0,0,0,0,0,0,0,0
1418070356.04768,postgres,0,522,3,3625,19136,241125,6897,0,0,0
1418070356.04768,dbt3,12,8279,0,1563516083,4549510241,46923355272,21346206228,785342213,1068,4952289
1418070416.04751,template1,0,0,0,0,0,0,0,0,0,0
1418070416.04751,template0,0,0,0,0,0,0,0,0,0,0
1418070416.04751,postgres,0,524,3,3625,19194,242051,6908,0,0,0
1418070416.04751,dbt3,9,8290,0,1563516083,4549513471,46923360447,21346207637,785342213,1068,4952289
1418070476.05153,template1,0,0,0,0,0,0,0,0,0,0
1418070476.05153,template0,0,0,0,0,0,0,0,0,0,0
1418070476.05153,postgres,0,526,3,3625,19252,242977,6919,0,0,0
1418070476.05153,dbt3,11,8306,0,1563516083,4549516831,46923365682,21346209101,785342213,1068,4952289
1418070536.05553,template1,0,0,0,0,0,0,0,0,0,0
1418070536.05553,template0,0,0,0,0,0,0,0,0,0,0
1418070536.05553,postgres,0,528,3,3625,19310,243903,6930,0,0,0
1418070536.05553,dbt3,11,8322,0,1563516083,4549520401,46923371014,21346210663,785342213,1068,4952289
1418070596.05879,template1,0,0,0,0,0,0,0,0,0,0
1418070596.05879,template0,0,0,0,0,0,0,0,0,0,0
1418070596.05879,postgres,0,530,3,3625,19368,244829,6941,0,0,0
1418070596.05879,dbt3,12,8335,0,1563516083,4549523473,46923376116,21346211996,785342213,1068,4952289
1418070656.05927,template1,0,0,0,0,0,0,0,0,0,0
1418070656.05927,template0,0,0,0,0,0,0,0,0,0,0
1418070656.05927,postgres,0,532,3,3625,19426,245755,6952,0,0,0
1418070656.05927,dbt3,11,8350,0,1569905773,4549531274,47283378315,21346213678,785342221,1070,4952289
1418070716.062,template1,0,0,0,0,0,0,0,0,0,0
1418070716.062,template0,0,0,0,0,0,0,0,0,0,0
1418070716.062,postgres,0,534,3,3625,19484,246681,6963,0,0,0
1418070716.062,dbt3,4,8369,0,1588570340,4550053050,48363374978,21346216312,785342258,1070,4952289
