# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
axle;60;1418068790;-1;27.51;0.00;4.55;0.00;0.00;67.94
axle;60;1418068790;0;46.24;0.00;3.92;0.00;0.00;49.84
axle;60;1418068790;1;22.35;0.00;4.76;0.02;0.00;72.88
axle;60;1418068790;2;24.14;0.00;4.61;0.00;0.00;71.25
axle;60;1418068790;3;32.48;0.00;5.95;0.00;0.00;61.57
axle;60;1418068790;4;4.99;0.00;2.82;0.00;0.00;92.19
axle;60;1418068790;5;15.57;0.00;5.36;0.00;0.00;79.07
axle;60;1418068790;6;55.29;0.00;4.94;0.00;0.00;39.77
axle;60;1418068790;7;39.40;0.00;3.60;0.00;0.00;57.00
axle;60;1418068790;8;9.63;0.00;6.83;0.00;0.00;83.54
axle;60;1418068790;9;19.21;0.00;5.52;0.00;0.00;75.27
axle;60;1418068790;10;42.58;0.00;2.79;0.00;0.00;54.63
axle;60;1418068790;11;32.50;0.00;4.70;0.00;0.00;62.80
axle;60;1418068790;12;37.15;0.00;3.81;0.00;0.00;59.04
axle;60;1418068790;13;33.64;0.00;6.70;0.00;0.00;59.67
axle;60;1418068790;14;13.06;0.00;3.48;0.02;0.00;83.44
axle;60;1418068790;15;11.68;0.00;3.01;0.00;0.00;85.31
axle;60;1418068850;-1;14.80;0.00;3.83;0.00;0.00;81.37
axle;60;1418068850;0;4.55;0.00;2.58;0.02;0.00;92.85
axle;60;1418068850;1;10.16;0.00;4.06;0.00;0.00;85.78
axle;60;1418068850;2;2.57;0.00;2.39;0.00;0.00;95.04
axle;60;1418068850;3;4.82;0.00;2.74;0.00;0.00;92.45
axle;60;1418068850;4;0.25;0.00;1.59;0.00;0.00;98.15
axle;60;1418068850;5;0.25;0.00;1.64;0.02;0.00;98.09
axle;60;1418068850;6;27.35;0.00;3.84;0.00;0.00;68.81
axle;60;1418068850;7;4.09;0.00;3.02;0.00;0.00;92.89
axle;60;1418068850;8;12.38;0.00;3.30;0.00;0.00;84.32
axle;60;1418068850;9;20.43;0.00;4.30;0.00;0.00;75.27
axle;60;1418068850;10;30.67;0.00;7.23;0.00;0.00;62.10
axle;60;1418068850;11;28.43;0.00;6.09;0.00;0.00;65.49
axle;60;1418068850;12;40.20;0.00;5.61;0.00;0.00;54.19
axle;60;1418068850;13;37.96;0.00;5.89;0.00;0.00;56.15
axle;60;1418068850;14;4.64;0.00;3.49;0.00;0.00;91.87
axle;60;1418068850;15;7.60;0.00;3.47;0.00;0.00;88.93
axle;60;1418068910;-1;12.88;0.00;2.71;0.00;0.00;84.41
axle;60;1418068910;0;0.85;0.00;0.50;0.00;0.00;98.65
axle;60;1418068910;1;31.72;0.00;6.72;0.00;0.00;61.56
axle;60;1418068910;2;10.75;0.00;6.37;0.00;0.00;82.87
axle;60;1418068910;3;3.28;0.00;1.37;0.00;0.00;95.35
axle;60;1418068910;4;37.37;0.00;4.90;0.00;0.00;57.72
axle;60;1418068910;5;35.01;0.00;4.64;0.00;0.00;60.35
axle;60;1418068910;6;1.99;0.00;2.08;0.00;0.00;95.93
axle;60;1418068910;7;0.08;0.00;1.31;0.00;0.00;98.61
axle;60;1418068910;8;0.34;0.00;1.46;0.00;0.00;98.21
axle;60;1418068910;9;0.15;0.00;1.36;0.00;0.00;98.49
axle;60;1418068910;10;0.12;0.00;0.23;0.00;0.00;99.65
axle;60;1418068910;11;0.15;0.00;0.13;0.00;0.00;99.72
axle;60;1418068910;12;29.25;0.00;3.54;0.00;0.00;67.21
axle;60;1418068910;13;38.08;0.00;4.64;0.00;0.00;57.28
axle;60;1418068910;14;10.48;0.00;2.14;0.00;0.00;87.37
axle;60;1418068910;15;6.26;0.00;1.89;0.00;0.00;91.85
axle;60;1418068970;-1;10.73;0.00;2.76;0.00;0.00;86.51
axle;60;1418068970;0;41.87;0.00;5.38;0.02;0.00;52.74
axle;60;1418068970;1;10.80;0.00;2.14;0.00;0.00;87.06
axle;60;1418068970;2;0.07;0.00;1.27;0.00;0.00;98.66
