# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1418070835;0.00;7158.35;221776.58;0.00;200356.58;0.00;0.00;0.00;0.00
axle;59;1418070895;0.00;274.89;186902.77;0.00;197519.54;0.00;0.00;0.00;0.00
axle;60;1418070955;1.74;497.21;165678.87;0.00;134190.81;0.00;0.00;0.00;0.00
axle;60;1418071015;0.00;38.03;23257.68;0.00;16731.51;0.00;0.00;0.00;0.00
axle;60;1418071075;0.00;25.80;513.15;0.00;120.57;0.00;0.00;0.00;0.00
axle;60;1418071135;0.00;21.47;535.93;0.00;117.17;0.00;0.00;0.00;0.00
axle;60;1418071195;0.00;35.82;527.51;0.00;111.24;0.00;0.00;0.00;0.00
axle;60;1418071255;0.00;25.74;391.38;0.00;428.41;0.00;0.00;0.00;0.00
axle;60;1418071315;0.00;30.74;296.75;0.00;436.56;0.00;0.00;0.00;0.00
axle;60;1418071375;0.00;31.22;295.88;0.00;438.31;0.00;0.00;0.00;0.00
axle;60;1418071435;0.00;21.61;273.97;0.00;1766.26;0.00;0.00;0.00;0.00
axle;60;1418071495;0.00;29.94;53562.37;0.00;4905.89;0.00;0.00;0.00;0.00
axle;60;1418071555;0.00;34.53;18669.17;0.00;116.31;0.00;0.00;0.00;0.00
axle;60;1418071615;0.00;31.49;9069.90;0.00;366.04;0.00;0.00;0.00;0.00
axle;60;1418071675;0.00;36.06;5233.74;0.00;85.00;0.00;0.00;0.00;0.00
axle;60;1418071735;0.00;43.61;35630.84;0.00;87.56;0.00;0.00;0.00;0.00
axle;60;1418071795;0.00;27.86;238.14;0.00;6309.95;0.00;0.00;0.00;0.00
axle;60;1418071855;0.00;32.94;30969.24;0.00;24769.04;0.00;0.00;0.00;0.00
axle;60;1418071915;0.00;35.80;23827.75;0.00;432.33;0.00;0.00;0.00;0.00
axle;60;1418071975;0.00;30.27;16704.52;0.00;82.75;0.00;0.00;0.00;0.00
axle;60;1418072035;0.00;38.67;12422.34;0.00;242.21;0.00;0.00;0.00;0.00
axle;60;1418072095;0.00;31.07;16985.65;0.00;83.15;0.00;0.00;0.00;0.00
axle;60;1418072155;0.00;33.34;40621.97;0.00;3161.05;0.00;0.00;0.00;0.00
axle;60;1418072215;0.00;21.41;1140.80;0.00;83.34;0.00;0.00;0.00;0.00
axle;60;1418072275;0.00;41.73;15670.48;0.00;12300.77;0.00;0.00;0.00;0.00
axle;60;1418072335;0.00;29.95;36347.10;0.00;2022.36;0.00;0.00;0.00;0.00
axle;60;1418072395;0.00;35.35;29421.97;0.00;769.09;0.00;0.00;0.00;0.00
axle;60;1418072455;0.00;33.27;7878.08;0.00;112.57;0.00;0.00;0.00;0.00
axle;60;1418072515;0.00;30.48;268.07;0.00;82.33;0.00;0.00;0.00;0.00
axle;60;1418072575;0.00;29.80;597.00;0.00;520.26;0.00;0.00;0.00;0.00
axle;60;1418072635;0.00;35.34;239.11;0.00;82.08;0.00;0.00;0.00;0.00
axle;60;1418072695;0.00;26.08;238.92;0.00;81.44;0.00;0.00;0.00;0.00
axle;60;1418072755;0.00;30.27;15821.57;0.00;82.17;0.00;0.00;0.00;0.00
axle;60;1418072815;0.00;26.60;21551.39;0.00;227.82;0.00;0.00;0.00;0.00
axle;60;1418072875;0.00;33.07;32433.78;0.00;85.43;0.00;0.00;0.00;0.00
axle;60;1418072935;0.00;35.21;33605.92;0.00;5873.46;0.00;0.00;0.00;0.00
axle;60;1418072995;0.00;35.54;30751.46;0.00;601.85;0.00;0.00;0.00;0.00
axle;60;1418073055;0.00;31.13;31566.72;0.00;83.32;0.00;0.00;0.00;0.00
axle;60;1418073115;0.00;27.81;1291.23;0.00;1441.69;0.00;0.00;0.00;0.00
axle;60;1418073175;0.00;32.01;35779.76;0.00;82.65;0.00;0.00;0.00;0.00
axle;60;1418073235;0.00;16.33;788.07;0.00;704.38;0.00;0.00;0.00;0.00
